date,asset,direction,entry,stop,target,exit,size,pnl_gbp,r_multiple,outcome,bars_held,risk_reward,confidence,zone_type,rationale
2026-01-05 11:45,Gold,short,4426.06,4429.2111,4411.7,4411.7,63.4705,911.44,4.56,win,11,4.56,3,fvg+ob,Short entry at 4426.06. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) AND supply zone (OB) — highest confluence Stop loss placed at 4429.21 (at structural swing extreme). Profit target 4411.70 (prior swing high/low). Risk/reward: 4.6:1. Position sized to risk 2% of account equity (£200).
2026-01-14 15:15,Gold,short,4621.87,4630.5929,4599.8,4630.5929,25.018,-218.23,-1.0,loss,39,2.53,3,fvg+ob,Short entry at 4621.87. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) AND supply zone (OB) — highest confluence Stop loss placed at 4630.59 (at structural swing extreme). Profit target 4599.80 (prior swing high/low). Risk/reward: 2.5:1. Position sized to risk 2% of account equity (£200).
2026-01-15 14:35,Gold,short,4609.05,4614.6311,4597.52,4614.6311,19.1598,-106.93,-1.0,loss,4,2.07,2,fvg,Short entry at 4609.05. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 4614.63 (at structural swing extreme). Profit target 4597.52 (prior swing high/low). Risk/reward: 2.1:1. Position sized to risk 2% of account equity (£200).
2026-01-16 16:00,Gold,short,4578.79,4595.1689,4536.9,4595.1689,3.2317,-52.93,-1.0,loss,5,2.56,2,fvg,Short entry at 4578.79. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 4595.17 (at structural swing extreme). Profit target 4536.90 (prior swing high/low). Risk/reward: 2.6:1. Position sized to risk 2% of account equity (£200).
2026-01-21 09:00,Gold,short,4858.56,4861.85,4851.89,4861.85,16.0081,-52.67,-1.0,loss,2,2.03,2,fvg,Short entry at 4858.56. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 4861.85 (at structural swing extreme). Profit target 4851.89 (prior swing high/low). Risk/reward: 2.0:1. Position sized to risk 2% of account equity (£200).
2026-02-03 11:30,Gold,short,4914.14,4920.1582,4889.87,4920.1582,8.7075,-52.4,-1.0,loss,6,4.03,2,fvg,Short entry at 4914.14. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 4920.16 (at structural swing extreme). Profit target 4889.87 (prior swing high/low). Risk/reward: 4.0:1. Position sized to risk 2% of account equity (£200).
2026-02-04 11:45,Gold,short,5039.25,5047.3661,5013.81,5047.3661,6.4245,-52.14,-1.0,loss,2,3.13,2,fvg,Short entry at 5039.25. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 5047.37 (at structural swing extreme). Profit target 5013.81 (prior swing high/low). Risk/reward: 3.1:1. Position sized to risk 2% of account equity (£200).
2026-02-06 08:30,Gold,short,4881.41,4888.1829,4862.01,4862.01,7.6601,148.61,2.86,win,1,2.86,3,fvg,Short entry at 4881.41. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions   • CCI > +100 confirms deep premium (commodity-specific) Stop loss placed at 4888.18 (at structural swing extreme). Profit target 4862.01 (prior swing high/low). Risk/reward: 2.9:1. Position sized to risk 2% of account equity (£200).
2026-02-17 14:10,Gold,short,4895.84,4917.57,4843.51,4917.57,9.6868,-210.49,-1.0,loss,146,2.41,2,fvg,Short entry at 4895.84. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry Stop loss placed at 4917.57 (at structural swing extreme). Profit target 4843.51 (prior swing high/low). Risk/reward: 2.4:1. Position sized to risk 2% of account equity (£200).
2026-02-27 14:15,Gold,short,5228.57,5237.3361,5208.08,5237.3361,11.7661,-103.14,-1.0,loss,11,2.34,3,fvg,Short entry at 5228.57. Confluence factors:   • price at premium zone (>50% of range) — overbought area   • price inside open gap zone (FVG) — gap-fill entry   • RSI > 60 confirms overbought/premium conditions Stop loss placed at 5237.34 (at structural swing extreme). Profit target 5208.08 (prior swing high/low). Risk/reward: 2.3:1. Position sized to risk 2% of account equity (£200).
